Taxon	Mnemonic	Scientific name
45486	AMMIT	Ammospermophilus interpres
45488	AMMLU	Ammospermophilus leucurus
2502157		Ammospermophilus nelsoni
9898		Ammotragus
9899	AMMLE	Ammotragus lervia
218841		Amphinectomys
218842		Amphinectomys savamis
320339		Anathana
320340		Anathana ellioti
2653790		Ancodonta
118857		Andalgalomys
118858	ANDOL	Andalgalomys olrogi
118859	ANDPE	Andalgalomys pearsoni
1398189		Andalgalomys pearsoni dorbignyi
119814	ANDRO	Andalgalomys roigi
118860		Andinomys
118861		Andinomys edax
332660		Anisomys
332661	ANIIM	Anisomys imitator
101663		Anomaluridae
1963759		Anomaluromorpha
101664		Anomalurus
1082180		Anomalurus beecrofti
2022012		Anomalurus derbianus
1559503		Anomalurus pelii
2022013		Anomalurus pusillus
101665	ANOSP	Anomalurus sp.
393702		Anomalurus sp. AAF-2006
423059		Anomalurus sp. Asp-2007
531820		Anomalurus sp. DH-2008
359030		Anomalurus sp. GP-2005
723880		Anomalurus sp. JJS-2010a
1965252		Anomalurus sp. LP-2017
131388		Anomalurus sp. T-1787
27641		Anoura
2563022		Anoura cadenai
27642	ANOCU	Anoura caudifer
999941		Anoura cultrata
2563023		Anoura fistulata
148021	ANOGE	Anoura geoffroy
409016		Anoura latidens
2563024		Anoura luismanueli
2563025		Anoura sp. A CCA-2019
127559		Anourosorex
127560	ANOSQ	Anourosorex squamipes
268756	ANOYA	Anourosorex yamashinai
60700		Antechinomys
60701	ANTLA	Antechinomys laniger
9282		Antechinus
2550877		Antechinus adustus
400481		Antechinus agilis
2550878		Antechinus argentus
2550879		Antechinus arktos
71384	ANTBE	Antechinus bellus
38775	ANTFL	Antechinus flavipes
2550880		Antechinus flavipes flavipes
2550881		Antechinus flavipes leucogaster
2550882		Antechinus flavipes rubeculus
71385	ANTGO	Antechinus godmani
65606	ANTLE	Antechinus leo
2547910		Antechinus mimetes
2550883		Antechinus mimetes insulanus
2575425		Antechinus mimetes mimetes
71386	ANTMI	Antechinus minimus
2575426		Antechinus minimus maritimus
2575427		Antechinus minimus minimus
2550884		Antechinus mysticus
38774	ANTNA	Antechinus naso
71387		Antechinus sp.
9283	ANTST	Antechinus stuartii
2550885		Antechinus subtropicus
9284	ANTSW	Antechinus swainsonii
2550886		Antechinus vandycki
302396		Anthops
302397		Anthops ornatus
59522		Antidorcas
59523	ANTMR	Antidorcas marsupialis
2022545		Antillomys
1607772		Antillomys rayi
9890		Antilocapra
9891	ANTAM	Antilocapra americana
1497538		Antilocapra americana peninsularis
694474		Antilocapra americana sonoriensis
9889		Antilocapridae
59524		Antilope
59525	ANTCE	Antilope cervicapra
9948		Antilopinae
9439		Antrozous
249033		Antrozous dubiaquercus
9440	ANTPA	Antrozous pallidus
76721		Aonyx
76722	AONCA	Aonyx capensis
452597	AONCI	Aonyx cinereus
376918		Aotidae
168015		Aotinae gen. sp.
9504		Aotus
30591	AOTAZ	Aotus azarae
120088		Aotus azarai azarai
280755		Aotus azarai boliviensis
867331	AOTAI	Aotus azarai subsp. infulatus
361674		Aotus brumbacki
292213		Aotus griseimembra
43147	AOTLE	Aotus lemurinus
37293	AOTNA	Aotus nancymaae
57175	AOTNI	Aotus nigriceps
231953		Aotus sp.
413234		Aotus sp. Aot1
1002694		Aotus sp. AVB-2011
1230482		Aotus sp. LC-2012
1090913		Aotus sp. MAS-2011
222417		Aotus sp. NIM-2003
261316		Aotus sp. PDE-2004
940829		Aotus sp. SHM-2010
9505	AOTTR	Aotus trivirgatus
57176	AOTVO	Aotus vociferans
1263727		Aotus zonalis
51341		Aplodontia
51342	APLRU	Aplodontia rufa
1334826		Aplodontia rufa californica
1334828		Aplodontia rufa humboldtiana
359807		Aplodontia rufa nigra
1334825		Aplodontia rufa olympica
1334829		Aplodontia rufa pacifica
1334827		Aplodontia rufa phaea
561552		Aplodontia rufa rufa
51340		Aplodontiidae
10128		Apodemus
39030	APOAG	Apodemus agrarius
129303		Apodemus agrarius coreae
129304		Apodemus agrarius manchuricus
129305		Apodemus agrarius ningpoensis
129306		Apodemus agrarius pallidior
100381	APOAL	Apodemus alpicola
61837	APOAR	Apodemus argenteus
134908		Apodemus cf. fulvipectus
754351		Apodemus chejuensis
129246	APOCH	Apodemus chevrieri
400052		Apodemus ciscaucasicus
129247	APODR	Apodemus draco
2316665		Apodemus draco orestes
490104		Apodemus epimelas
54292	APOFL	Apodemus flavicollis
134907		Apodemus fulvipectus
105298		Apodemus gurkha
159078		Apodemus hermonensis
1749061		Apodemus hyrcanicus
324708		Apodemus iconicus
256595		Apodemus ilex
214933	APOLA	Apodemus latronum
100382	APOMY	Apodemus mystacinus
2602584		Apodemus nigrus
262051		Apodemus pallipes
105297	APOPE	Apodemus peninsulae
129307		Apodemus peninsulae preator
129308		Apodemus peninsulae sowerbyi
134909		Apodemus ponticus
2364279		Apodemus rusiges
105299	APOSM	Apodemus semotus
290246		Apodemus sp. Iran 74
289184		Apodemus sp. Kyrgyzstan 100
289185		Apodemus sp. Syria 334
261752		Apodemus sp. TTS-2004a
261873		Apodemus sp. TTS-2004b
261874		Apodemus sp. TTS-2004c
261875		Apodemus sp. TTS-2004d
105296	APOSI	Apodemus speciosus
10129	APOSY	Apodemus sylvaticus
134910	APOUR	Apodemus uralensis
214934		Apodemus wardi
400054		Apodemus witherbyi
238001		Apomys
932750		Apomys abrae
932751		Apomys aurorae
932752		Apomys banahao
932753		Apomys brownorum
768346	APOCM	Apomys camiguinensis
238002	APODA	Apomys datae
238003	APOGR	Apomys gracilirostris
238004	APOHY	Apomys hylocetes
238005	APOIN	Apomys insignis
1595966		Apomys iridensis
2028557		Apomys littoralis
1595965		Apomys lubangensis
932754		Apomys magnus
238006	APOMC	Apomys microdon
932761		Apomys minganensis
238007	APOMU	Apomys musculus
1595964		Apomys sacobianus
932762		Apomys sierrae
238010		Apomys sp. AC
238011		Apomys sp. B
238008		Apomys sp. F
2517234		Apomys sp. Mt. Abra de Ilog
2517235		Apomys sp. Mt. Mangibok
2517237		Apomys sp. Mt. Tallulah
2517236		Apomys sp. Mt. Wood
932763		Apomys zambalensis
58058		Aproteles
58059	APRBU	Aproteles bulmerae
2305161		Arabitragus
330465	ARAJA	Arabitragus jayakari
251273		Arborimus
251276		Arborimus albipes
251274	ARBLO	Arborimus longicaudus
251277		Arborimus pomo
523820		Archaeolemur
523822		Archaeolemur edwardsi
523821		Archaeolemur majori
237994		Archboldomys
237995	ARCLU	Archboldomys luzonensis
1217594		Archboldomys maximus
94179		Arctictis
94180	ARCBI	Arctictis binturong
1933056		Arctictis binturong albifrons
261738		Arctocebus
300161		Arctocebus aureus
261739	ARCCA	Arctocebus calabarensis
29083		Arctocephalus
161928	ARCAU	Arctocephalus australis
29084	ARCFO	Arctocephalus forsteri
30584	ARCGA	Arctocephalus galapagoensis
37190	ARCGZ	Arctocephalus gazella
161927	ARCPH	Arctocephalus philippii
37191	ARCPU	Arctocephalus pusillus
37193	ARCPD	Arctocephalus pusillus doriferus
37192		Arctocephalus pusillus pusillus
161921	ARCTO	Arctocephalus townsendi
37194		Arctocephalus tropicalis
544298		Arctodus
551196		Arctodus simus
94181		Arctogalidia
